time,x,y,amp,phase
1985-01-08,2.0846276,1.0746171,2.345309,8.0
1985-01-09,2.2829108,0.025631536,2.2830548,1.0
1985-01-10,2.1023831,-0.9739643,2.3170285,2.0
1985-01-11,1.6082292,-1.6729083,2.3205652,2.0
1985-01-12,0.943531,-1.9052527,2.1260853,2.0
1985-01-13,0.28842825,-1.6404165,1.6655802,3.0
1985-01-14,-0.19281341,-0.9964484,1.0149317,3.0
1985-01-20,-0.03434265,-1.1955789,1.1960721,3.0
1985-01-21,-0.6183525,-2.0364132,2.1282244,3.0
1985-01-22,-1.4450006,-2.437815,2.8338964,4.0
1985-01-23,-2.3070683,-2.1613832,3.161351,4.0
1985-01-24,-2.9422276,-1.1613477,3.1631362,5.0
1985-01-25,-3.111554,0.38130844,3.1348307,5.0
1985-01-26,-2.6780887,2.0953043,3.4003615,6.0
1985-01-27,-1.6601009,3.519353,3.8912442,6.0
1985-01-28,-0.24017309,4.238009,4.244809,7.0
1985-01-29,1.2756399,4.0112967,4.2092466,7.0
1985-01-30,2.5385203,2.8560061,3.8211067,8.0
1985-01-31,3.2540438,1.0502942,3.419345,1.0
1985-02-01,3.266077,-0.9428566,3.3994467,1.0
1985-02-02,2.6009111,-2.6112938,3.6855927,2.0
1985-02-03,1.4571893,-3.5463262,3.8340356,3.0
1985-02-04,0.14431064,-3.5635371,3.566458,3.0
1985-02-05,-1.0113335,-2.7524972,2.9324114,3.0
1985-02-06,-1.762391,-1.4390692,2.2752893,4.0
1985-02-07,-2.0082011,-0.07286989,2.0095227,5.0
1985-02-08,-1.8128692,0.9225029,2.0340862,6.0
1985-02-09,-1.3691678,1.2863111,1.878621,6.0
1985-02-10,-0.9218196,0.9988891,1.3592391,6.0
1985-02-13,-1.0372881,-1.0120223,1.4491913,4.0
1985-02-14,-1.4319226,-0.95187783,1.7194399,4.0
1985-02-15,-1.69667,-0.3074792,1.7243065,5.0
1985-02-16,-1.6449186,0.72321296,1.7968845,6.0
1985-02-17,-1.1956881,1.7823533,2.146265,6.0
1985-02-18,-0.41025215,2.4796224,2.5133312,7.0
1985-02-19,0.52198833,2.5319846,2.5852306,7.0
1985-02-20,1.3436966,1.8665857,2.2999268,8.0
1985-02-21,1.815004,0.65078795,1.9281505,1.0
1985-02-22,1.7945085,-0.7608788,1.949153,2.0
1985-02-23,1.2879304,-1.9439427,2.3318827,2.0
1985-02-24,0.44790637,-2.5443077,2.5834322,3.0
1985-02-25,-0.47455487,-2.3930905,2.4396894,3.0
1985-02-26,-1.2098281,-1.5570762,1.9718444,4.0
1985-02-27,-1.5531682,-0.30903867,1.583615,5.0
1985-02-28,-1.4239044,0.96963495,1.7227001,6.0
1985-12-01,-0.05424905,1.2928576,1.2939953,7.0
1985-12-02,0.40298137,1.2912617,1.3526828,7.0
1985-12-03,0.84022987,1.1580667,1.4307708,8.0
1985-12-04,1.2051939,0.86333656,1.4825121,8.0
1985-12-05,1.4382778,0.40926117,1.4953722,1.0
1985-12-06,1.4886961,-0.14856385,1.4960907,1.0
1985-12-07,1.335365,-0.69982433,1.5076319,2.0
1985-12-08,1.0039158,-1.1032002,1.4916091,2.0
1985-12-09,0.57115954,-1.2296633,1.3558373,2.0
1985-12-10,0.15210715,-1.0107888,1.0221696,3.0
